"job_id","job_schedule_type","job_location","job_title","job_title_short","salary_year_avg","job_posted_date","company_name"
226942,"Full-time","Anywhere","Data Analyst","Data Analyst","650000.0","2023-02-20 15:13:33","Mantys"
547382,"Full-time","Anywhere","Director of Analytics","Data Analyst","336500.0","2023-08-23 12:04:42","Meta"
552322,"Full-time","Anywhere","Associate Director- Data Insights","Data Analyst","255829.5","2023-06-18 16:03:12","AT&T"
99305,"Full-time","Anywhere","Data Analyst, Marketing","Data Analyst","232423.0","2023-12-05 20:00:40","Pinterest Job Advertisements"
1021647,"Full-time","Anywhere","Data Analyst (Hybrid/Remote)","Data Analyst","217000.0","2023-01-17 00:17:23","Uclahealthcareers"
168310,"Full-time","Anywhere","Principal Data Analyst (Remote)","Data Analyst","205000.0","2023-08-09 11:00:01","SmartAsset"
731368,"Full-time","Anywhere","Director, Data Analyst - HYBRID","Data Analyst","189309.0","2023-12-07 15:00:13","Inclusively"
310660,"Full-time","Anywhere","Principal Data Analyst, AV Performance Analysis","Data Analyst","189000.0","2023-01-05 00:00:25","Motional"
1749593,"Full-time","Anywhere","Principal Data Analyst","Data Analyst","186000.0","2023-07-11 16:00:05","SmartAsset"
387860,"Full-time","Anywhere","ERM Data Analyst","Data Analyst","184000.0","2023-06-09 08:01:04","Get It Recruit - Information Technology"
