"job_id","job_schedule_type","job_location","job_title","job_title_short","salary_year_avg","job_posted_date","company_name"
209315,"Full-time","Belarus","Data base administrator","Data Analyst","400000.0","2023-10-03 11:22:20","ЛАНИТ"
1110602,"Full-time","Bethesda, MD","HC Data Analyst , Senior","Data Analyst","375000.0","2023-08-18 07:00:22","Illuminate Mission Solutions"
641501,"Full-time","Jacksonville, FL","Head of Infrastructure Management & Data Analytics - Financial...","Data Analyst","375000.0","2023-07-03 11:30:01","Citigroup, Inc"
1147675,"Full-time","Bethesda, MD","Sr Data Analyst","Data Analyst","375000.0","2023-04-05 12:00:12","Illuminate Mission Solutions"
229253,"Full-time","Austin, TX","Director of Safety Data Analysis","Data Analyst","375000.0","2023-04-21 08:01:55","Torc Robotics"
101757,"Full-time","Austin, TX","Head of Data Analytics","Data Analyst","350000.0","2023-10-23 05:01:05","Care.com"
1059665,"Full-time","San Francisco, CA","Data Analyst","Data Analyst","350000.0","2023-06-22 07:00:59","Anthropic"
894135,"Full-time","San Francisco, CA","Research Scientist","Data Analyst","285000.0","2023-04-19 18:04:21","OpenAI"
285766,"Full-time","Austin, TX","Partner Technology Manager, Data Analytics and AI","Data Analyst","254000.0","2023-07-28 13:01:20","Google"
1147498,"Full-time","Atlanta, GA","Director Analytics","Data Analyst","245000.0","2023-06-30 19:56:28","Channel Personnel Services"
